	Loss
0	0.7325717210769653
1	0.7479519248008728
2	0.7640169858932495
3	0.7251912355422974
4	0.7127716541290283
5	0.7292673587799072
6	0.7561281323432922
7	0.7096439599990845
8	0.7447649240493774
9	0.7280595302581787
10	0.7088590264320374
11	0.6937917470932007
12	0.735588550567627
13	0.7139098644256592
14	0.7587926387786865
15	0.6972655057907104
16	0.7253022193908691
17	0.7094206809997559
18	0.714012622833252
19	0.7332286238670349
20	0.7140616178512573
21	0.7459397912025452
22	0.7133903503417969
23	0.6998419761657715
24	0.7147684693336487
25	0.7130061984062195
26	0.7124523520469666
27	0.7326631546020508
28	0.7176095843315125
29	0.7036274671554565
30	0.6968461275100708
31	0.7333232164382935
32	0.7394064664840698
33	0.7203405499458313
34	0.7012107968330383
35	0.7171568870544434
36	0.7219107151031494
37	0.7077525854110718
38	0.6838309168815613
39	0.7309839725494385
40	0.7132601737976074
41	0.7009484767913818
42	0.6941047310829163
43	0.7197362780570984
44	0.705715537071228
45	0.71336829662323
46	0.7277485132217407
47	0.7155582904815674
48	0.7286996841430664
49	0.6978589296340942
50	0.7142028212547302
51	0.7184892892837524
52	0.7068299055099487
53	0.6816912889480591
54	0.6848452091217041
55	0.700390100479126
56	0.7082698345184326
57	0.6829174160957336
58	0.709140956401825
59	0.7149623036384583
60	0.7093765735626221
61	0.7003574371337891
62	0.6668609380722046
