True_Label	Predicted_Probability
1	0.10851846
1	0.016357789
1	0.0033112091
1	0.020274866
1	0.07398021
1	0.22152379
1	0.21063457
1	0.088670865
1	0.07672464
1	0.17062093
1	0.06459669
1	0.12809315
1	0.11931857
1	0.030953823
1	0.008553853
1	0.14912847
1	0.19187424
1	0.07508828
1	0.11229446
1	0.14349936
1	0.21417597
1	0.058740627
1	0.08854843
1	0.06795892
1	0.07749415
1	0.062299065
1	0.045664053
1	0.03286804
1	0.049474705
1	0.029610466
1	0.07450934
1	0.07725512
1	0.13558969
1	0.10662376
1	0.08157865
1	0.30370906
1	0.343622
1	0.13438936
1	0.076636955
1	0.17455846
1	0.021314172
1	0.05503975
1	0.08306732
1	0.12519643
1	0.053475507
1	0.010527566
1	0.13644211
1	0.13854772
1	0.17583145
1	0.2207828
1	0.40554118
1	0.027666043
1	0.03056442
1	0.090450205
1	0.056998298
1	0.101239085
1	0.066922784
1	0.013148424
1	0.091129914
1	0.11103159
1	0.03306458
1	0.09402044
1	0.038910344
1	0.12784466
1	0.12325319
1	0.13597998
1	0.046319574
1	0.30753884
1	0.013714919
1	0.03394005
1	0.032153342
1	0.21519691
1	0.0694197
1	0.4020231
1	0.04958189
1	0.07629449
1	0.024190255
1	0.058584712
1	0.044709954
1	0.18276693
1	0.0379299
1	0.17124538
1	0.13698508
1	0.0420017
1	0.0274283
1	0.01988926
1	0.19636029
1	0.044230122
1	0.11087007
1	0.06859877
1	0.011811629
1	0.019493772
1	0.039673533
1	0.047778796
1	0.02608953
1	0.11319903
1	0.084710374
1	0.08160021
1	0.12722017
1	0.2797841
1	0.046983007
1	0.02701637
1	0.06556301
1	0.081021436
1	0.012016762
1	0.09737655
1	0.12282115
1	0.0575877
1	0.12095219
1	0.15813027
1	0.14391655
1	0.082888536
1	0.011562786
1	0.17615268
1	0.18143544
1	0.062134206
1	0.14440265
1	0.039389964
1	0.052728478
1	0.16190924
1	0.043180056
1	0.027920853
1	0.01328469
1	0.035374183
1	0.061681632
1	0.026756186
1	0.17945321
1	0.08428766
1	0.06728002
1	0.11977351
1	0.045425046
1	0.10594524
1	0.11477936
1	0.0034038203
1	0.21966313
1	0.46289945
1	0.12373352
1	0.21316086
1	0.1071912
1	0.0375538
1	0.0249697
1	0.2861721
1	0.024719734
1	0.4334352
1	0.056861635
1	0.07563041
1	0.007337139
1	0.21152025
1	0.0130277835
1	0.0384834
1	0.034717828
1	0.009109362
1	0.2167543
1	0.15765093
1	0.056083217
1	0.013844807
1	0.03970752
1	0.10311034
1	0.053807896
1	0.16254388
1	0.05131406
1	0.108182624
1	0.021258472
1	0.05305486
1	0.09547647
1	0.019821705
1	0.24039763
1	0.16910844
1	0.046775375
1	0.3286037
1	0.25373012
1	0.059282523
1	0.04121009
1	0.07610724
1	0.023001837
1	0.021799004
1	0.050091974
1	0.02147546
1	0.084215775
1	0.09723194
1	0.06560968
1	0.015660629
1	0.023021702
1	0.060541995
1	0.021924105
1	0.06593583
1	0.014786443
1	0.021042155
1	0.020660542
1	0.1388167
1	0.01231978
1	0.14284956
1	0.037926078
1	0.24233046
1	0.10268266
1	0.02487126
1	0.027523251
1	0.011971596
1	0.003891182
1	0.39684656
1	0.14439216
1	0.03638498
1	0.030050304
1	0.43453252
1	0.071917355
1	0.049853753
1	0.08215192
1	0.055351503
1	0.03944655
1	0.052855663
1	0.08234003
1	0.016601365
1	0.14228986
1	0.053188086
1	0.05160411
1	0.13471286
1	0.09960202
1	0.020090893
1	0.1201085
1	0.0201774
1	0.38493937
1	0.13428049
1	0.04653728
1	0.08040075
1	0.009122283
1	0.031962503
1	0.23076251
1	0.0503284
1	0.036426183
1	0.07535771
1	0.023814142
1	0.055955496
1	0.012035485
1	0.0035869363
1	0.08359441
1	0.041017488
1	0.094086416
1	0.06780813
1	0.05668463
1	0.05700969
1	0.115976624
1	0.03636043
1	0.012854191
1	0.16307512
1	0.021719556
1	0.0609467
1	0.007818071
1	0.053801004
1	0.091965064
1	0.03904577
1	0.10263239
1	0.100673236
1	0.004545238
1	0.004847438
1	0.029758034
1	0.3864909
1	0.10080277
1	0.046011765
1	0.03572668
1	0.046876967
1	0.031440824
1	0.10216393
1	0.017958077
1	0.009591407
1	0.021421338
1	0.023093067
1	0.06953493
1	0.032914277
1	0.23672147
1	0.03013587
1	0.06355906
1	0.015254001
1	0.018704535
1	0.07741555
1	0.03443209
1	0.041253332
1	0.10652903
1	0.06543234
1	0.05589972
1	0.11848775
1	0.082296155
1	0.15642892
1	0.03378195
1	0.21218862
1	0.06594206
1	0.07254879
1	0.0178078
1	0.05812106
1	0.2800292
1	0.06853148
1	0.504561
1	0.004533389
1	0.1482409
1	0.08382459
1	0.02734335
1	0.020553056
1	0.016562006
1	0.13877591
1	0.014132262
1	0.029101204
1	0.06756033
1	0.046531904
1	0.032842726
1	0.05659691
1	0.12235526
1	0.0893154
1	0.008632956
1	0.23153381
1	0.32665044
1	0.042387433
1	0.09510621
1	0.012071179
1	0.19340776
1	0.08469364
1	0.051992305
1	0.055209927
1	0.065026835
1	0.027943019
1	0.039198205
1	0.06427662
1	0.005455051
1	0.038889393
1	0.06481394
1	0.09587222
1	0.07580507
1	0.3066684
1	0.20799941
1	0.025329381
1	0.100950025
1	0.049972963
1	0.041441243
1	0.03730314
1	0.064581335
1	0.1887218
1	0.050636243
1	0.07418423
1	0.060475837
1	0.09014541
1	0.057827245
1	0.030419145
1	0.14152166
1	0.018320082
1	0.011302735
1	0.053620692
1	0.16186088
1	0.07600372
1	0.18918669
1	0.006222383
1	0.05058931
1	0.1309251
