True_Label	Predicted_Probability
1	0.00010639734683629843
1	0.009316254233669769
1	9.747191269384916e-06
1	1.6491502880724155e-06
1	3.8822786720914694e-05
1	0.00011915523388426586
1	7.091293157731593e-05
1	9.865809188087431e-06
1	1.5565513748216358e-06
1	1.2918321426149938e-05
1	6.456047923779941e-06
1	0.0022412183668130375
1	4.271304627361418e-10
1	5.01879320803705e-06
1	2.360956129375341e-09
1	9.384743074359669e-08
1	0.004757585053585296
1	0.001168683209470034
1	0.000113201953072072
1	0.006149971047645381
1	0.051296466763991154
1	2.1553479770413207e-08
1	0.001156010273713982
1	4.220778395024342e-06
1	7.990366244643753e-06
1	3.286238320735334e-09
1	8.567953935722586e-05
1	0.7698871375227924
1	0.00025293954063872984
1	1.04492213664976e-06
1	9.200003090320106e-05
1	5.546131760284149e-10
1	4.352225977063371e-06
1	0.10227191179645478
1	2.968080319588549e-06
1	0.9333594197719688
1	1.4960613332957755e-05
1	0.539518728969131
1	5.0984984678617646e-06
1	3.2310375849121724e-05
1	1.0041480092869974e-05
1	1.7803835238748076e-06
1	0.0012485207066303794
1	0.00012635511491912292
1	5.74601113158392e-07
1	3.364926584258355e-05
1	0.00014985218950195535
1	0.0001528688995549297
1	0.09459870442823741
1	0.002207559247612019
1	0.0004144539488185581
1	0.001039614781432178
1	1.3805176166116124e-11
1	2.6133005165685143e-06
1	1.0817367770793587e-05
1	0.0006742335096535996
1	0.0002529597910936481
1	2.301751779273079e-05
1	4.18618641899703e-06
1	0.002562792605456401
1	1.131653692424329e-10
1	0.6704623832633225
1	2.834537862617006e-07
1	0.8036617044771572
1	0.0007342641326893964
1	0.00021023183931471196
1	5.482099948135662e-06
1	0.011751816670405677
1	4.176082393334985e-07
1	6.513042580578753e-14
1	1.2635352134535488e-11
1	0.6424550586737627
1	0.012961140056417372
1	0.006014930395195923
1	0.0014457723661943733
1	1.2672928020209327e-05
1	3.9653470607456155e-11
1	8.544480894215189e-05
1	8.92873342082608e-08
1	0.04482321275258613
1	0.005556818835496863
1	1.1429589994534241e-05
