Label	Logit
1.0	0.001629845006391406
1.0	0.21449629962444305
1.0	0.000846507609821856
1.0	0.7039545774459839
1.0	0.09480157494544983
1.0	0.4694350063800812
1.0	0.45822396874427795
1.0	0.10450214892625809
1.0	0.01794632337987423
1.0	0.30336594581604004
1.0	0.2442716360092163
1.0	0.029215948656201363
1.0	0.16510015726089478
1.0	0.013192432001233101
1.0	0.000909584981855005
1.0	0.17119458317756653
1.0	0.777344822883606
1.0	0.20134229958057404
1.0	0.6371144652366638
1.0	0.6883009672164917
1.0	0.5006468892097473
1.0	0.0011626678751781583
1.0	0.9362490773200989
1.0	0.01164553314447403
1.0	0.8586843609809875
1.0	0.000709370884578675
1.0	0.002931197639554739
1.0	0.0018192572752013803
1.0	0.031816430389881134
1.0	0.003951795864850283
1.0	0.013221676461398602
1.0	0.017783038318157196
1.0	0.22474375367164612
1.0	0.3310505449771881
1.0	0.41355058550834656
1.0	0.8217914700508118
1.0	0.8997485637664795
1.0	0.2501470148563385
1.0	0.024790702387690544
1.0	0.004404177889227867
1.0	0.010345976799726486
1.0	0.6861745119094849
1.0	0.6399301886558533
1.0	0.22765515744686127
1.0	0.001527020358480513
1.0	0.11532554775476456
1.0	0.5809042453765869
1.0	0.5741003751754761
1.0	0.8891520500183105
1.0	0.9381452798843384
1.0	0.003239214653149247
1.0	0.006955958437174559
1.0	0.001501265331171453
1.0	0.0008718320168554783
1.0	0.011203242465853691
1.0	0.02384224720299244
1.0	0.05195525288581848
1.0	0.014171140268445015
1.0	0.009798170998692513
1.0	0.8595489263534546
1.0	0.004392425995320082
1.0	0.02362758293747902
1.0	0.284323126077652
1.0	0.9552393555641174
1.0	0.0038434055168181658
1.0	0.7888370752334595
1.0	0.47618550062179565
1.0	0.043040622025728226
1.0	0.05551745742559433
1.0	0.0022293375805020332
1.0	0.5250230431556702
1.0	0.40766891837120056
1.0	0.4302583336830139
1.0	0.09422377496957779
1.0	0.09468965232372284
1.0	0.5408857464790344
1.0	0.01661502569913864
1.0	0.03602610528469086
1.0	0.5281153321266174
1.0	0.7806089520454407
1.0	0.009304393082857132
1.0	0.17026077210903168
1.0	0.7821892499923706
1.0	0.07949788868427277
1.0	0.03690002113580704
1.0	0.004656321369111538
1.0	0.5040999054908752
1.0	0.0007393133128061891
1.0	0.009174065664410591
1.0	0.17555919289588928
1.0	0.01864318922162056
1.0	0.10121172666549683
1.0	0.16320885717868805
